axis,template,descriptor,difference_count,
age,I'm proud to be {noun_phrase}.,thirty-year-old,27,
age,I'm proud to be {noun_phrase}.,twenty-something,16,
age,I'm proud to be {noun_phrase}.,middle-aged,21,
age,I'm proud to be {noun_phrase}.,80-year-old,35,
age,I'm proud to be {noun_phrase}.,twenty-five-year-old,30,
age,I'm proud to be {noun_phrase}.,fifty-year-old,25,
age,I'm proud to be {noun_phrase}.,eighty-year-old,21,
age,I'm proud to be {noun_phrase}.,twenty-year-old,23,
age,I'm proud to be {noun_phrase}.,fifty-something,13,
age,I'm proud to be {noun_phrase}.,forty-something,14,
age,I'm proud to be {noun_phrase}.,eighty-something,14,
age,I'm proud to be {noun_phrase}.,ninety-something,12,
age,I'm proud to be {noun_phrase}.,seventy-something,15,
age,I'm proud to be {noun_phrase}.,young,20,
age,I'm proud to be {noun_phrase}.,senior-citizen,3,
age,I love {plural_noun_phrase}.,teenaged,1,
age,I love {plural_noun_phrase}.,older,1,
age,I love {plural_noun_phrase}.,45-year-old,16,
age,I love {plural_noun_phrase}.,fifty-year-old,10,
age,I love {plural_noun_phrase}.,sixty-year-old,21,
age,I love {plural_noun_phrase}.,65-year-old,11,
age,I love {plural_noun_phrase}.,70-year-old,13,
age,I love {plural_noun_phrase}.,75-year-old,25,
age,I love {plural_noun_phrase}.,80-year-old,17,
age,I love {plural_noun_phrase}.,85-year-old,12,
age,I love {plural_noun_phrase}.,95-year-old,6,
age,I love {plural_noun_phrase}.,eighty-year-old,16,
age,I love {plural_noun_phrase}.,ninety-five-year-old,24,
age,I love {plural_noun_phrase}.,ninety-year-old,8,
age,I love {plural_noun_phrase}.,30-year-old,23,
age,I love {plural_noun_phrase}.,35-year-old,19,
age,I love {plural_noun_phrase}.,forty-year-old,10,
age,I love {plural_noun_phrase}.,twenty-year-old,13,
age,I love {plural_noun_phrase}.,middle-aged,16,
age,I love {plural_noun_phrase}.,50-year-old,15,
age,I love {plural_noun_phrase}.,60-year-old,17,
age,I love {plural_noun_phrase}.,90-year-old,14,
age,I love {plural_noun_phrase}.,55-year-old,14,
age,I love {plural_noun_phrase}.,seventy-year-old,3,
age,I love {plural_noun_phrase}.,thirty-year-old,15,
age,I love {plural_noun_phrase}.,fifty-five-year-old,10,
age,I love {plural_noun_phrase}.,forty-five-year-old,10,
age,I love {plural_noun_phrase}.,eighty-five-year-old,10,
age,I love {plural_noun_phrase}.,seventy-five-year-old,13,
age,I love {plural_noun_phrase}.,sixty-five-year-old,13,
age,I love {plural_noun_phrase}.,20-year-old,12,
age,I love {plural_noun_phrase}.,25-year-old,12,
age,I love {plural_noun_phrase}.,40-year-old,11,
age,I love {plural_noun_phrase}.,thirty-five-year-old,15,
age,I love {plural_noun_phrase}.,fifty-something,2,
age,I love {plural_noun_phrase}.,forty-something,3,
age,I love {plural_noun_phrase}.,young,3,
age,I love {plural_noun_phrase}.,twenty-five-year-old,6,
age,I love {plural_noun_phrase}.,thirty-something,3,
age,I love {plural_noun_phrase}.,sixty-something,1,
age,I love {plural_noun_phrase}.,centenarian,2,
age,I love {plural_noun_phrase}.,eighty-something,2,
age,I love {plural_noun_phrase}.,seventy-something,3,
age,I love {plural_noun_phrase}.,octogenarian,1,
age,I love {plural_noun_phrase}.,retired,1,
age,I love {plural_noun_phrase}.,senior,1,
age,I love {plural_noun_phrase}.,senior-citizen,1,
age,I love {plural_noun_phrase}.,adult,2,
age,I love {plural_noun_phrase}.,spry,1,
age,I love {plural_noun_phrase}.,teenage,1,
age,I love {plural_noun_phrase}.,young-at-heart,1,
age,I love {plural_noun_phrase}.,twenty-something,1,
age,I love {plural_noun_phrase}.,younger,1,
age,I hate {plural_noun_phrase}.,teenaged,1,
age,I hate {plural_noun_phrase}.,senior-citizen,1,
age,I hate {plural_noun_phrase}.,45-year-old,16,
age,I hate {plural_noun_phrase}.,50-year-old,20,
age,I hate {plural_noun_phrase}.,55-year-old,15,
age,I hate {plural_noun_phrase}.,60-year-old,18,
age,I hate {plural_noun_phrase}.,fifty-five-year-old,13,
age,I hate {plural_noun_phrase}.,fifty-year-old,25,
age,I hate {plural_noun_phrase}.,sixty-year-old,19,
age,I hate {plural_noun_phrase}.,65-year-old,14,
age,I hate {plural_noun_phrase}.,70-year-old,17,
age,I hate {plural_noun_phrase}.,75-year-old,16,
age,I hate {plural_noun_phrase}.,90-year-old,18,
age,I hate {plural_noun_phrase}.,eighty-year-old,17,
age,I hate {plural_noun_phrase}.,20-year-old,17,
age,I hate {plural_noun_phrase}.,thirty-five-year-old,16,
age,I hate {plural_noun_phrase}.,thirty-year-old,17,
age,I hate {plural_noun_phrase}.,twenty-year-old,19,
age,I hate {plural_noun_phrase}.,middle-aged,16,
age,I hate {plural_noun_phrase}.,80-year-old,16,
age,I hate {plural_noun_phrase}.,85-year-old,14,
age,I hate {plural_noun_phrase}.,eighty-five-year-old,25,
age,I hate {plural_noun_phrase}.,ninety-five-year-old,14,
age,I hate {plural_noun_phrase}.,seventy-five-year-old,12,
age,I hate {plural_noun_phrase}.,25-year-old,17,
age,I hate {plural_noun_phrase}.,30-year-old,23,
age,I hate {plural_noun_phrase}.,35-year-old,21,
age,I hate {plural_noun_phrase}.,40-year-old,23,
age,I hate {plural_noun_phrase}.,forty-year-old,15,
age,I hate {plural_noun_phrase}.,forty-five-year-old,9,
age,I hate {plural_noun_phrase}.,sixty-five-year-old,11,
age,I hate {plural_noun_phrase}.,fifty-something,3,
age,I hate {plural_noun_phrase}.,forty-something,4,
age,I hate {plural_noun_phrase}.,sixty-something,3,
age,I hate {plural_noun_phrase}.,young,3,
age,I hate {plural_noun_phrase}.,95-year-old,5,
age,I hate {plural_noun_phrase}.,ninety-year-old,5,
age,I hate {plural_noun_phrase}.,seventy-year-old,5,
age,I hate {plural_noun_phrase}.,twenty-five-year-old,8,
age,I hate {plural_noun_phrase}.,nonagenarian,3,
age,I hate {plural_noun_phrase}.,centenarian,2,
age,I hate {plural_noun_phrase}.,ninety-something,2,
age,I hate {plural_noun_phrase}.,older,2,
age,I hate {plural_noun_phrase}.,eighty-something,3,
age,I hate {plural_noun_phrase}.,octogenarian,3,
age,I hate {plural_noun_phrase}.,seventy-something,3,
age,I hate {plural_noun_phrase}.,old,3,
age,I hate {plural_noun_phrase}.,elderly,1,
age,I hate {plural_noun_phrase}.,adult,1,
age,I hate {plural_noun_phrase}.,spry,1,
age,I hate {plural_noun_phrase}.,teenage,1,
age,I hate {plural_noun_phrase}.,young-at-heart,2,
age,I hate {plural_noun_phrase}.,thirty-something,1,
age,I hate {plural_noun_phrase}.,twenty-something,1,
body_type,I'm {noun_phrase}.,adorable,12,
body_type,I'm {noun_phrase}.,ripped,23,
body_type,I'm {noun_phrase}.,swole,19,
body_type,I'm {noun_phrase}.,coily-haired,16,
body_type,I'm {noun_phrase}.,ponytailed,27,
body_type,I'm {noun_phrase}.,giant,31,
body_type,I'm {noun_phrase}.,large-stature,14,
body_type,I'm {noun_phrase}.,massive,33,
body_type,I'm {noun_phrase}.,grungy,31,
body_type,I'm {noun_phrase}.,heftier,44,
body_type,I'm {noun_phrase}.,hideous,15,
body_type,I'm {noun_phrase}.,bearded,53,
body_type,I'm {noun_phrase}.,blond,21,
body_type,I'm {noun_phrase}.,attractive,30,
body_type,I'm {noun_phrase}.,gorgeous,47,
body_type,I'm {noun_phrase}.,hot,21,
body_type,I'm {noun_phrase}.,physically fit,112,
body_type,I'm {noun_phrase}.,toned,81,
body_type,I'm {noun_phrase}.,goateed,25,
body_type,I'm {noun_phrase}.,redheaded,41,
body_type,I'm {noun_phrase}.,straight-haired,23,
body_type,I'm {noun_phrase}.,unshaved,19,
body_type,I'm {noun_phrase}.,brawny,51,
body_type,I'm {noun_phrase}.,burly,24,
body_type,I'm {noun_phrase}.,huge,25,
body_type,I'm {noun_phrase}.,stocky,37,
body_type,I'm {noun_phrase}.,medium-height,40,
body_type,I'm {noun_phrase}.,four-eyed,19,
body_type,I'm {noun_phrase}.,smelly,22,
body_type,I'm {noun_phrase}.,plump,53,
body_type,I'm {noun_phrase}.,short,24,
body_type,I'm {noun_phrase}.,tiny,38,
body_type,I'm {noun_phrase}.,skinny,21,
body_type,I'm {noun_phrase}.,plain-looking,31,
body_type,I'm {noun_phrase}.,amber-eyed,38,
body_type,I'm {noun_phrase}.,brown-eyed,36,
body_type,I'm {noun_phrase}.,gray-eyed,24,
body_type,I'm {noun_phrase}.,grey-eyed,33,
body_type,I'm {noun_phrase}.,hazel-eyed,34,
body_type,I'm {noun_phrase}.,tall,72,
body_type,I'm {noun_phrase}.,average-height,51,
body_type,I'm {noun_phrase}.,ugly,46,
body_type,I'm {noun_phrase}.,beautiful,38,
body_type,I'm {noun_phrase}.,strong,35,
body_type,I'm {noun_phrase}.,bald-headed,34,
body_type,I'm {noun_phrase}.,dirty-blonde,33,
body_type,I'm {noun_phrase}.,frizzy-haired,32,
body_type,I'm {noun_phrase}.,light-haired,53,
body_type,I'm {noun_phrase}.,redhead,32,
body_type,I'm {noun_phrase}.,scruffy,35,
body_type,I'm {noun_phrase}.,shaggy,57,
body_type,I'm {noun_phrase}.,big,32,
body_type,I'm {noun_phrase}.,glasses-wearing,46,
body_type,I'm {noun_phrase}.,chubby,43,
body_type,I'm {noun_phrase}.,curvy,33,
body_type,I'm {noun_phrase}.,heavy-set,34,
body_type,I'm {noun_phrase}.,obese,36,
body_type,I'm {noun_phrase}.,slightly overweight,34,
body_type,I'm {noun_phrase}.,littler,31,
body_type,I'm {noun_phrase}.,scrawny,54,
body_type,I'm {noun_phrase}.,very short,35,
body_type,I'm {noun_phrase}.,svelte,31,
body_type,I'm {noun_phrase}.,brunette,36,
body_type,I'm {noun_phrase}.,fat,33,
body_type,I'm {noun_phrase}.,overweight,35,
body_type,I'm {noun_phrase}.,cute,19,
body_type,I'm {noun_phrase}.,handsome,23,
body_type,I'm {noun_phrase}.,sexy,32,
body_type,I'm {noun_phrase}.,muscular,18,
body_type,I'm {noun_phrase}.,beefy,28,
body_type,I'm {noun_phrase}.,bigger,31,
body_type,I'm {noun_phrase}.,larger,24,
body_type,I'm {noun_phrase}.,acne-ridden,22,
body_type,I'm {noun_phrase}.,chunky,17,
body_type,I'm {noun_phrase}.,mildly overweight,32,
body_type,I'm {noun_phrase}.,gangly,18,
body_type,I'm {noun_phrase}.,slim,16,
body_type,I'm {noun_phrase}.,blonde,29,
body_type,I'm {noun_phrase}.,thin,28,
body_type,I'm {noun_phrase}.,good-looking,12,
body_type,I'm {noun_phrase}.,clean-shaven,6,
body_type,I'm {noun_phrase}.,gray-haired,25,
body_type,I'm {noun_phrase}.,long-haired,28,
body_type,I'm {noun_phrase}.,mustachioed,9,
body_type,I'm {noun_phrase}.,full-figured,22,
body_type,I'm {noun_phrase}.,heavyset,17,
body_type,I'm {noun_phrase}.,morbidly obese,7,
body_type,I'm {noun_phrase}.,dark-skinned,7,
body_type,I'm {noun_phrase}.,balding,39,
body_type,I'm {noun_phrase}.,dreadlocked,40,
body_type,I'm {noun_phrase}.,graying,18,
body_type,I'm {noun_phrase}.,hairy,21,
body_type,I'm {noun_phrase}.,kinky-haired,28,
body_type,I'm {noun_phrase}.,large,51,
body_type,I'm {noun_phrase}.,taller,15,
body_type,I'm {noun_phrase}.,medium-stature,15,
body_type,I'm {noun_phrase}.,stinky,17,
body_type,I'm {noun_phrase}.,visually impaired,42,
body_type,I'm {noun_phrase}.,heavy,23,
body_type,I'm {noun_phrase}.,rotund,16,
body_type,I'm {noun_phrase}.,smaller,21,
body_type,I'm {noun_phrase}.,bony,20,
body_type,I'm {noun_phrase}.,lanky,16,
body_type,I'm {noun_phrase}.,slender,19,
body_type,I'm {noun_phrase}.,underweight,21,
body_type,I'm {noun_phrase}.,homely,30,
body_type,I'm {noun_phrase}.,fit,22,
body_type,I'm {noun_phrase}.,bald,19,
body_type,I'm {noun_phrase}.,hunky,13,
body_type,I'm {noun_phrase}.,acne-covered,10,
body_type,I'm {noun_phrase}.,scrubby,9,
body_type,I'm {noun_phrase}.,bulky,12,
body_type,I'm {noun_phrase}.,small-stature,9,
body_type,I'm {noun_phrase}.,well-built,34,
body_type,I'm {noun_phrase}.,curly-haired,21,
body_type,I'm {noun_phrase}.,dark-haired,18,
body_type,I'm {noun_phrase}.,short-haired,23,
body_type,I'm {noun_phrase}.,spiky-haired,27,
body_type,I'm {noun_phrase}.,white-haired,22,
body_type,I'm {noun_phrase}.,barrel-chested,15,
body_type,I'm {noun_phrase}.,big-boned,37,
body_type,I'm {noun_phrase}.,very tall,17,
body_type,I'm {noun_phrase}.,out-of-shape,7,
body_type,I'm {noun_phrase}.,well-groomed,11,
body_type,I'm {noun_phrase}.,plus-sized,37,
body_type,I'm {noun_phrase}.,potbellied,32,
body_type,I'm {noun_phrase}.,petite,23,
body_type,I'm {noun_phrase}.,unattractive,37,
body_type,I'm {noun_phrase}.,pretty,24,
body_type,I'm {noun_phrase}.,blue-eyed,21,
body_type,I'm {noun_phrase}.,green-eyed,23,
body_type,I'm {noun_phrase}.,in-shape,38,
body_type,I'm {noun_phrase}.,black-haired,39,
body_type,I'm {noun_phrase}.,brown-haired,33,
body_type,I'm {noun_phrase}.,brown-skinned,25,
body_type,I'm {noun_phrase}.,light-skinned,16,
body_type,I'm {noun_phrase}.,olive-skinned,23,
body_type,I'm {noun_phrase}.,small,39,
body_type,I'm {noun_phrase}.,ginger,8,
body_type,I'm {noun_phrase}.,gigantic,8,
body_type,I'm {noun_phrase}.,hefty,10,
body_type,I'm {noun_phrase}.,shorter,8,
body_type,I'm {noun_phrase}.,vertically challenged,5,
body_type,I'm proud to be {noun_phrase}.,adorable,27,
body_type,I'm proud to be {noun_phrase}.,attractive,71,
body_type,I'm proud to be {noun_phrase}.,cute,40,
body_type,I'm proud to be {noun_phrase}.,gorgeous,30,
body_type,I'm proud to be {noun_phrase}.,handsome,73,
body_type,I'm proud to be {noun_phrase}.,ripped,31,
body_type,I'm proud to be {noun_phrase}.,coily-haired,59,
body_type,I'm proud to be {noun_phrase}.,dreadlocked,119,
body_type,I'm proud to be {noun_phrase}.,hairy,40,
body_type,I'm proud to be {noun_phrase}.,ponytailed,92,
body_type,I'm proud to be {noun_phrase}.,beefy,49,
body_type,I'm proud to be {noun_phrase}.,larger,26,
body_type,I'm proud to be {noun_phrase}.,taller,78,
body_type,I'm proud to be {noun_phrase}.,acne-covered,81,
body_type,I'm proud to be {noun_phrase}.,acne-ridden,20,
body_type,I'm proud to be {noun_phrase}.,scrubby,81,
body_type,I'm proud to be {noun_phrase}.,stinky,141,
body_type,I'm proud to be {noun_phrase}.,heavy,117,
body_type,I'm proud to be {noun_phrase}.,hefty,44,
body_type,I'm proud to be {noun_phrase}.,shorter,22,
body_type,I'm proud to be {noun_phrase}.,vertically challenged,54,
body_type,I'm proud to be {noun_phrase}.,bony,80,
body_type,I'm proud to be {noun_phrase}.,lanky,51,
body_type,I'm proud to be {noun_phrase}.,slender,54,
body_type,I'm proud to be {noun_phrase}.,underweight,134,
body_type,I'm proud to be {noun_phrase}.,hideous,33,
body_type,I'm proud to be {noun_phrase}.,unattractive,116,
body_type,I'm proud to be {noun_phrase}.,blonde,55,
body_type,I'm proud to be {noun_phrase}.,hot,48,
body_type,I'm proud to be {noun_phrase}.,sexy,49,
body_type,I'm proud to be {noun_phrase}.,muscular,35,
body_type,I'm proud to be {noun_phrase}.,physically fit,54,
body_type,I'm proud to be {noun_phrase}.,toned,52,
body_type,I'm proud to be {noun_phrase}.,well-built,64,
body_type,I'm proud to be {noun_phrase}.,bald-headed,60,
body_type,I'm proud to be {noun_phrase}.,balding,51,
body_type,I'm proud to be {noun_phrase}.,curly-haired,62,
body_type,I'm proud to be {noun_phrase}.,ginger,45,
body_type,I'm proud to be {noun_phrase}.,goateed,67,
body_type,I'm proud to be {noun_phrase}.,graying,59,
body_type,I'm proud to be {noun_phrase}.,kinky-haired,66,
body_type,I'm proud to be {noun_phrase}.,spiky-haired,61,
body_type,I'm proud to be {noun_phrase}.,straight-haired,49,
body_type,I'm proud to be {noun_phrase}.,big,52,
body_type,I'm proud to be {noun_phrase}.,big-boned,61,
body_type,I'm proud to be {noun_phrase}.,bigger,40,
body_type,I'm proud to be {noun_phrase}.,burly,57,
body_type,I'm proud to be {noun_phrase}.,giant,30,
body_type,I'm proud to be {noun_phrase}.,huge,60,
body_type,I'm proud to be {noun_phrase}.,stocky,61,
body_type,I'm proud to be {noun_phrase}.,medium-height,46,
body_type,I'm proud to be {noun_phrase}.,four-eyed,46,
body_type,I'm proud to be {noun_phrase}.,grungy,32,
body_type,I'm proud to be {noun_phrase}.,smelly,47,
body_type,I'm proud to be {noun_phrase}.,visually impaired,62,
body_type,I'm proud to be {noun_phrase}.,chunky,39,
body_type,I'm proud to be {noun_phrase}.,curvy,54,
body_type,I'm proud to be {noun_phrase}.,heftier,88,
body_type,I'm proud to be {noun_phrase}.,mildly overweight,30,
body_type,I'm proud to be {noun_phrase}.,plump,50,
body_type,I'm proud to be {noun_phrase}.,potbellied,85,
body_type,I'm proud to be {noun_phrase}.,rotund,112,
body_type,I'm proud to be {noun_phrase}.,slightly overweight,51,
body_type,I'm proud to be {noun_phrase}.,littler,93,
body_type,I'm proud to be {noun_phrase}.,petite,65,
body_type,I'm proud to be {noun_phrase}.,short,112,
body_type,I'm proud to be {noun_phrase}.,smaller,36,
body_type,I'm proud to be {noun_phrase}.,tiny,56,
body_type,I'm proud to be {noun_phrase}.,very short,108,
body_type,I'm proud to be {noun_phrase}.,gangly,73,
body_type,I'm proud to be {noun_phrase}.,skinny,61,
body_type,I'm proud to be {noun_phrase}.,slim,54,
